term,sentiment
acquisitive,-1
acquisitiveness,-1
acquit,0
acquittal,0
acre,0
acreage,0
acrid,-1
acrimonious,-2
acrimony,-2
acrobat,0
acrobatic,0
acrobatics,0
acronym,0
acropolis,0
across,0
across-the-board,0
acrylic,0
act,0
acting,0
action,0
activate,0
activation,0
active,2
actively,1
activism,0
activist,0
activity,0
actor,0
actress,0
actual,0
actuality,0
actualization,1
actualize,0
actually,0
actuarial,0
actuary,0
actuate,0
acuity,2
acumen,2
acupuncture,0
acupuncturist,0
acute,0
acutely,0
acuteness,0
ad,0
adage,0
adagio,0
adamant,-1
adamantly,-1
adapt,0
adaptability,0
adaptable,1
adaptation,0
adapter,0
adaptor,0
add,0
addend,0
addenda,0
addendum,0
adder,0
addict,-1
addicted,-2
addiction,-2
addictive,-1
addition,0
additional,0
additionally,0
additive,0
addle,0
address,0
addressee,0
adduce,0
adenoidal,0
adenoids,-1
adept,2
adeptly,2
adeptness,2
adequacy,0
adequate,1
adequately,-1
adhere,0
adherence,0
adherent,0
adhesion,0
adhesive,0
adieu,0
adieux,0
adios,0
adipose,0
adj.,0
adjacent,0
adjectival,0
adjectivally,0
adjective,0
adjoin,0
adjoining,0
adjourn,0
adjournment,0
adjudge,0
adjudicate,0
adjudication,0
adjudicator,0
adjunct,0
adjure,0
adjust,0
adjustable,1
adjuster,0
adjustment,0
adjustor,0
adjutant,0
ad-lib,0
adman,0
administer,0
administrate,0
administration,0
administrative,0
administrator,0
admirable,2
admirably,2
admiral,0
admiralty,0
admiration,2
admire,2
admirer,1
admiringly,1
admissibility,0
admissible,1
admission,0
admit,0
admittance,0
admittedly,0
admixture,0
admonish,-1
admonishment,-1
admonition,-1
admonitory,-1
ado,0
adobe,0
adolescence,0
adolescent,0
adopt,0
adoption,0
adoptive,0
adorable,2
adorably,2
adoration,2
adore,2
adorn,0
adornment,0
adrenal,0
adrenaline,0
adrift,-1
adroit,1
adroitly,2
adroitness,2
adulate,2
adulation,2
adult,0
adulterant,0
adulterate,-1
adulterated,-1
adulteration,-1
adulterer,-2
adulteress,-2
adulterous,-2
adultery,-2
adulthood,0
adv.,0
advance,1
advanced,2
advancement,2
advances,0
advantage,1
advantageous,2
advantageously,2
advent,0
adventure,0
adventurer,2
adventuresome,1
adventuress,2
adventurous,2
adventurously,0
adverb,0
adverbial,0
adversarial,-2
adversary,-2
adverse,-2
adversely,-2
adversity,-2
advert,0
advertise,0
advertisement,0
advertiser,0
advertising,0
advice,0
advisability,0
advisable,1
advise,0
advisedly,0
adviser,0
advisor,0
advisory,0
advocacy,0
advocate,1
advt.,0
adz,0
adze,0
aegis,0
aeon,0
aerate,0
aeration,0
aerator,0
aerial,0
aerialist,0
aerie,0
aerobatics,0
aerobic,0
aerobics,0
aerodynamic,0
aerodynamically,0
aerodynamics,0
aeronautical,0
aeronautics,0
aeroplane,0
aerosol,0
aerospace,0
aesthete,0
aesthetic,1
aesthetically,1
aesthetics,0
afar,0
affability,1
affable,2
affably,1
affair,-1
affairs,0
affect,0
affectation,-1
affected,0
affecting,0
affection,2
affectionate,2
affectionately,2
affidavit,0
affiliate,0
affiliation,0
affinity,1
affirm,1
affirmation,2
affirmative,2
affirmatively,1
affix,0
afflict,-2
affliction,-2
affluence,1
affluent,2
afford,1
affordable,2
afforest,0
afforestation,0
affray,-1
affront,-1
afghan,0
aficionado,0
afield,0
afire,1
aflame,0
afloat,0
aflutter,0
afoot,0
aforementioned,0
aforesaid,0
afoul,-1
afraid,-2
afresh,1
african,0
african-american,0
afrikaans,0
afro-american,0
aft,0
after,0
afterbirth,0
afterburner,0
aftereffect,0
afterglow,2
afterlife,0
aftermath,0
afternoon,0
aftershave,0
afterthought,0
afterward,0
afterwards,0
afterword,0
again,0
against,-1
agape,0
agate,0
agave,0
age,0
aged,-1
ageless,2
agency,0
agenda,0
agent,0
age-old,0
agglomeration,0
agglutination,0
aggrandize,0
aggrandizement,-2
aggravate,-1
aggravation,-1
aggregate,0
aggregation,0
aggression,-2
aggressive,-1
aggressively,-2
aggressiveness,-2
aggressor,-2
aggrieved,-2
aghast,-2
agile,1
agilely,1
agility,2
agitate,-1
agitation,-1
agitator,-1
aglitter,0
aglow,1
agnostic,0
agnosticism,0
ago,0
agog,1
agonize,-1
agonizing,-2
agonizingly,-2
agony,-2
agrarian,0
agree,0
agreeable,2
agreeably,1
agreement,0
agribusiness,0
agricultural,0
agriculture,0
agronomist,0
agronomy,0
aground,0
ague,-1
ah,0
aha,0
ahead,1
ahem,0
ahoy,0
aid,1
aide,0
ail,-1
aileron,0
ailment,-2
aim,0
aimless,-1
aimlessly,-2
aimlessness,-2
air,0
airborne,0
airbrush,0
air-condition,0
aircraft,0
airfield,0
airhead,-2
airily,-1
airless,-1
airlift,0
airline,0
airliner,0
airmail,0
airman,0
airplane,0
airport,0
airship,0
airsick,-1
airsickness,-1
airspace,0
airstrip,0
airtight,0
airwaves,0
airway,0
airy,0
aisle,0
ajar,0
akimbo,0
akin,0
alabaster,0
alacrity,0
alarm,-1
alarming,-2
alarmingly,-2
alarmist,-1
alas,-1
albacore,0
albanian,0
albatross,0
albeit,0
albino,0
album,0
albumen,0
albumin,0
alchemist,0
alchemy,0
alcohol,0
alcoholic,-1
alcoholism,-2
alcove,0
alder,0
alderman,0
ale,0
alert,1
alertly,1
alertness,2
alfalfa,0
alfresco,0
alga,0
algae,0
algebra,0
algebraic,0
algebraically,0
algorithm,0
alias,0
alibi,0
alien,-1
alienate,-2
alienated,-2
alienation,-1
alight,0
align,0
alignment,0
alike,0
alimentary,0
alimony,0
alit,0
alive,1
alkali,0
alkaline,0
alkalinity,0
alkaloid,0
all,0
all-around,0
allay,1
allegation,-2
allege,-1
alleged,-1
allegedly,-1
allegiance,0
allegorical,0
allegorically,0
allegory,0
allegro,0
alleluia,3
allergen,-1
allergic,-1
allergy,-1
alleviate,1
alleviation,0
alley,0
alliance,0
allied,1
alligator,0
alliteration,0
alliterative,0
allocate,0
allocation,0
allot,0
allotment,0
all-out,1
allover,0
allow,0
allowable,1
allowance,0
alloy,0
all-purpose,2
all-round,1
allspice,0
all-time,0
allude,0
allure,1
alluring,2
allusion,0
allusive,0
alluvial,0
ally,1
almanac,0
almighty,2
almond,0
almost,0
alms,0
aloe,0
aloft,0
aloha,0
alone,-1
along,0
alongside,0
aloof,-1
aloofness,-1
aloud,0
alpaca,0
alpha,1
alphabet,0
alphabetic,0
alphabetical,0
alphabetically,0
alphabetize,0
alphanumeric,0
alpine,0
already,0
alright,1
also,0
altar,0
alter,0
alteration,0
altercation,-2
alternate,0
alternately,0
alternation,0
alternative,0
alternatively,0
alternator,0
although,0
altimeter,0
altitude,0
alto,0
altogether,0
altruism,2
altruist,2
altruistic,2
altruistically,2
alum,0
aluminum,0
alumna,0
alumnae,0
alumni,0
alumnus,0
always,0
am,0
amalgam,0
amalgamate,0
amalgamation,0
amaryllis,0
amass,0
amateur,-1
amateurish,-1
amateurism,-1
amatory,1
amaze,1
amazement,0
amazing,3
amazingly,3
ambassador,0
ambassadorial,0
ambassadorship,0
amber,0
ambiance,0
ambidextrous,1
ambidextrously,0
ambience,0
ambient,0
ambiguity,-1
ambiguous,-1
ambiguously,0
ambition,0
ambitious,0
ambitiously,0
ambivalence,-1
ambivalent,-1
ambivalently,-1
amble,0
ambrosia,0
ambulance,0
ambulatory,0
ambush,-1
ameba,0
amebae,0
ameliorate,1
amelioration,0
amen,0
amenable,1
amend,0
amendable,1
amendment,0
amends,0
amenity,1
american,0
americanize,0
amethyst,0
amiability,1
amiable,2
amiably,2
amicability,0
amicable,2
amicably,2
amid,0
amidships,0
amidst,0
amigo,0
amiss,-1
amity,1
ammeter,0
ammo,0
ammonia,0
ammunition,0
amnesia,-2
amnesiac,-1
amnesty,0
amniocentesis,0
amoeba,0
amoebae,0
amoebic,0
amok,-2
among,0
amongst,0
amoral,-2
amorality,-2
amorally,-2
amorous,0
amorously,1
amorousness,0
amorphous,0
amortize,0
amount,0
amour,0
amp,0
amperage,0
ampere,0
ampersand,0
amphetamine,0
amphibian,0
amphibious,0
amphitheater,0
ample,1
amplification,0
amplifier,0
amplify,0
amplitude,0
amply,2
ampule,0
amputate,-1
amputation,-2
amputee,0
amt.,0
amuck,-2
amulet,0
amuse,1
amusement,0
amusing,1
amusingly,1
an,0
anachronism,-1
anachronistic,-1
anaconda,0
anaerobic,0
anaesthesia,0
anaesthetic,0
anagram,0
anal,-1
analgesia,0
analgesic,0
analog,0
analogous,0
analogously,0
analogue,0
analogy,0
analyses,0
analysis,0
analyst,0
analytic,0
analytical,0
analytically,0
analyze,0
anapest,0
anarchic,-1
anarchically,-2
anarchism,-2
anarchist,-2
anarchistic,-1
anarchy,-2
anathema,-2
anatomic,0
anatomical,0
anatomically,0
anatomist,0
anatomy,0
ancestor,0
ancestral,0
ancestry,0
anchor,0
anchorage,0
anchorman,0
anchorperson,0
anchorwoman,0
anchovy,0
ancient,0
ancillary,0
and,0
and/or,0
andante,0
andiron,0
androgynous,0
android,0
anecdotal,0
anecdote,0
anemia,-1
anemic,-1
anemometer,0
anemone,0
anesthesia,0
anesthesiologist,0
anesthesiology,0
anesthetic,0
anesthetist,0
anesthetize,0
aneurysm,-2
anew,1
angel,2
angelic,2
angelically,2
anger,-2
angina,-2
angioplasty,0
angiosperm,0
angle,0
angler,0
angleworm,0
anglican,0
anglicize,0
angling,0
anglo-saxon,0
angolan,0
angora,0
angrily,-2
angry,-2
angst,-1
anguish,-2
anguished,-2
angular,0
angularity,0
animal,0
animate,1
animated,0
animation,0
animator,0
animism,-1
animosity,-2
animus,-2
anise,0
ankh,0
ankle,0
anklet,0
annals,0
anneal,0
annex,0
annexation,0
annihilate,-3
annihilation,-2
anniversary,0
annotate,0
annotation,0
announce,0
announcement,0
announcer,0
annoy,-1
annoyance,-1
annoying,-2
annoyingly,-2
annual,0
annually,0
annuity,0
annul,0
annulment,-1
annunciation,0
anode,0
anodyne,0
anoint,1
anointment,0
anomalous,-1
anomaly,-1
anon,0
anon.,0
anonymity,0
anonymous,0
anonymously,0
anopheles,0
anorexia,-1
anorexic,-2
another,0
answer,0
answerable,0
ant,0
antacid,0
antagonism,-2
antagonist,-1
antagonistic,-2
antagonistically,-2
antagonize,-1
antarctic,0
ante,0
anteater,0
antebellum,0
antecedent,0
antechamber,0
antedate,0
antediluvian,0
antelope,0
antenna,0
antennae,0
anterior,0
anteroom,0
anthem,0
anther,0
anthill,0
anthologist,0
anthologize,0
anthology,0
anthracite,0
anthrax,-2
anthropoid,0
anthropological,0
anthropologist,0
anthropology,0
anthropomorphic,0
anthropomorphism,0
antiabortion,0
antiaircraft,0
antibiotic,0
antibody,0
antic,-1
anticipate,0
anticipation,0
anticipatory,0
anticlimactic,-1
anticlimax,-1
antics,0
antidepressant,0
antidote,0
antifreeze,0
antigen,0
antihero,-1
antihistamine,0
antiknock,0
antimatter,0
antimony,0
antiparticle,0
antipasto,0
antipathy,-2
antiperspirant,0
antipodes,0
antiquarian,0
antiquated,-1
antique,1
antiquity,0
anti-semite,-2
anti-semitic,-2
antiseptic,0
antiseptically,0
antisocial,-1
antitheses,0
antithesis,0
antithetical,-1
antitoxin,0
antitrust,-1
antiwar,0
antler,0
antonym,0
anus,0
anvil,0
anxiety,-1
anxious,-1
anxiously,-1
any,0
anybody,0
anyhow,0
anymore,0
anyone,0
anyplace,0
anything,0
anytime,0
anyway,0
anywhere,0
a-ok,2
aorta,0
apace,0
apart,0
apartheid,-1
apartment,0
apathetic,-1
apathetically,-1
apathy,-1
ape,-1
aperitif,0
aperture,0
apex,0
aphid,0
aphorism,0
aphrodisiac,0
apiary,0
apices,0
apiece,0
aplenty,0
aplomb,0
apocalypse,-2
apocalyptic,-2
apocryphal,-1
apogee,0
apolitical,0
apologetic,0
apologetically,-1
apologia,0
apologist,0
apologize,0
apology,0
apoplectic,-2
apoplexy,-2
apostasy,-2
apostate,-1
apostle,0
apostolic,0
apostrophe,0
apothecary,0
apotheosis,0
appall,-2
appalling,-3
appallingly,-2
apparatus,0
apparel,0
apparent,0
apparently,0
apparition,0
appeal,1
appealing,2
appear,0
appearance,0
appease,0
appeasement,0
appeaser,0
appellate,0
appellation,0
append,0
appendage,0
appendectomy,0
appendices,0
appendicitis,0
appendix,0
appertain,0
appetite,0
appetizer,0
appetizing,2
applaud,1
applause,2
apple,0
applejack,0
applesauce,0
appliance,0
applicability,0
applicable,0
applicant,0
application,0
applicator,0
applied,0
applique,0
apply,0
appoint,0
appointee,0
appointment,0
apportion,0
apportionment,0
apposite,2
apposition,0
appositive,0
appraisal,0
appraise,0
appraiser,0
appreciable,0
appreciably,0
appreciate,1
appreciation,2
appreciative,2
appreciatively,2
apprehend,0
apprehension,-1
apprehensive,-1
apprehensively,-1
apprehensiveness,-1
apprentice,0
apprenticeship,0
apprise,0
approach,0
approachable,2
approbation,2
appropriate,2
appropriately,1
appropriateness,0
appropriation,0
approval,1
approve,1
approvingly,2
approx.,0
approximate,0
approximately,0
approximation,0
appurtenance,0
apricot,0
apron,0
apropos,0
apse,0
apt,2
apt.,0
aptitude,2
aptly,2
aptness,0
aqua,0
aquamarine,0
aquanaut,0
aquaplane,0
aquaria,0
aquarium,0
aquatic,0
aqueduct,0
aqueous,0
aquifer,0
aquiline,0
arabesque,0
arabian,0
arabic,0
arable,2
arachnid,0
arbiter,0
arbitrarily,0
arbitrariness,0
arbitrary,-1
arbitrate,0
arbitration,0
arbitrator,0
arbor,0
arboreal,0
arboreta,0
arboretum,0
arborvitae,0
arbutus,0
arc,0
arcade,0
arcane,0
arch,0
archaeological,0
archaeologist,0
archaeology,0
archaic,-1
archaically,0
archaism,0
archangel,0
archbishop,0
archbishopric,0
archdiocese,0
archduke,0
archenemy,-2
archeology,0
archer,0
archery,0
archetype,0
archipelago,0
architect,0
architectural,0
architecturally,0
architecture,0
archive,0
archives,0
archivist,0
archly,0
archway,0
arctic,0
ardent,1
ardently,2
ardor,0
arduous,-2
arduously,-1
arduousness,-1
are,0
area,0
arena,0
argentine,0
argon,0
argot,0
arguable,0
arguably,0
argue,-1
argument,-1
argumentation,0
argumentative,-1
aria,0
arid,-1
aridity,-1
aright,1
arise,0
arisen,0
aristocracy,0
aristocrat,0
aristocratic,0
aristocratically,0
arithmetic,0
arithmetical,0
arithmetically,0
ark,0
arm,0
armada,0
armadillo,0
armament,0
armature,0
armband,0
armchair,0
armed,0
armenian,0
armful,0
armhole,0
armistice,0
armor,0
armored,0
armorer,0
armory,0
armpit,0
armrest,0
arms,0
army,0
aroma,0
aromatic,1
arose,0
around,0
around-the-clock,0
arousal,0
arouse,0
arpeggio,0
arraign,-2
arraignment,-1
arrange,0
arrangement,0
arrant,-1
array,0
arrears,-1
arrest,-1
arresting,1
arrival,0
arrive,0
arrogance,-2
arrogant,-2
arrogantly,-2
arrogate,-1
arrow,0
arrowhead,0
arrowroot,0
arroyo,0
arsenal,0
arsenic,-2
arson,-2
arsonist,-2
art,0
arterial,0
arteriosclerosis,-1
artery,0
artful,1
artfully,2
artfulness,0
arthritic,-1
arthritis,-1
arthropod,0
artichoke,0
article,0
articulate,2
articulately,2
articulateness,2
articulation,0
artifact,0
artifice,0
artificial,-1
artificiality,-1
artificially,0
artillery,0
artisan,0
artist,0
artistic,2
artistically,2
artistry,0
artless,0
artlessly,1
artlessness,1
artwork,0
arty,0
aryan,0
as,0
asap,0
asbestos,0
ascend,0
ascendancy,1
ascendant,2
ascendency,2
ascendent,1
ascension,1
ascent,0
ascertain,0
ascertainable,0
ascetic,0
asceticism,0
ascot,0
ascribe,0
aseptic,1
asexual,0
asexually,0
ash,0
ashamed,-2
ashamedly,-2
ashen,-1
ashes,0
ashore,0
ashram,0
ashtray,0
ashy,-1
asian,0
asiatic,0
aside,0
asinine,-2
ask,0
askance,-1
askew,-1
aslant,0
asleep,0
asp,0
asparagus,0
aspartame,0
aspect,0
aspen,0
asperity,-1
aspersion,-1
asphalt,0
asphyxia,-2
asphyxiate,-2
asphyxiation,-2
aspic,0
aspirant,0
aspirate,0
aspiration,1
aspire,1
aspirin,0
ass,-2
assail,-2
assailable,-1
assailant,-2
assassin,-2
assassinate,-2
assassination,-2
assault,-2
assay,0
assemblage,0
assemble,0
assembler,0
assembly,0
assemblyman,0
assemblywoman,0
assent,0
assert,0
assertion,0
assertive,0
assertively,0
assertiveness,0
assess,0
assessment,0
assessor,0
asset,2
asshole,-2
assiduous,1
assiduously,2
assiduousness,2
assign,0
assignation,0
assignment,0
assimilate,0
assimilation,0
assist,0
assistance,1
assistant,0
assn.,0
assoc.,0
associate,0
association,0
associative,0
assort,0
assorted,0
assortment,0
asst.,0
assuage,0
assume,0
assumption,0
assurance,2
assure,1
assured,2
assuredly,2
aster,0
asterisk,0
astern,0
asteroid,0
asthma,-1
asthmatic,-1
astigmatic,-1
astigmatism,0
astir,0
astonish,0
astonishing,2
astonishingly,1
astonishment,0
astound,0
astounding,2
astoundingly,0
astrakhan,0
astral,0
astray,-2
astride,0
astringency,0
astringent,-1
astrologer,0
astrological,0
astrology,0
astronaut,0
astronautics,0
astronomer,0
astronomic,0
astronomical,0
astronomically,0
astronomy,0
astrophysicist,0
astrophysics,0
astute,2
astutely,2
astuteness,2
asunder,-1
asylum,-1
asymmetric,0
asymmetrical,0
asymmetry,0
at,0
ate,0
atheism,0
atheist,0
atheistic,0
athlete,0
athletic,1
athletically,0
athletics,0
atlas,0
atmosphere,0
atmospheric,0
atoll,0
atom,0
atomic,0
atomizer,0
atonal,0
atonality,0
atone,-1
atonement,0
atop,0
atria,0
atrium,0
atrocious,-3
atrociously,-2
atrociousness,-2
atrocity,-2
atrophy,-1
attach,0
attache,0
attachment,0
attack,-1
attacker,-2
attain,0
attainable,1
attainment,0
attar,0
attempt,0
attend,0
attendance,0
attendant,0
attention,0
attentive,2
attentively,1
attentiveness,2
attenuate,0
attenuation,0
attest,0
attic,0
attire,0
attitude,0
attn.,0
attorney,0
attract,0
attraction,2
attractive,2
attractively,2
attractiveness,2
attributable,0
attribute,0
attribution,0
attributive,0
attrition,-1
attune,1
atty.,0
atypical,0
atypically,0
auburn,0
auction,0
auctioneer,0
audacious,-1
audaciously,-2
audacity,-1
audibility,0
audible,0
audibly,0
audience,0
audio,0
audiophile,0
audiovisual,0
audit,0
audition,0
auditor,0
auditorium,0
auditory,0
auger,0
aught,0
augment,0
augmentation,0
augur,0
augury,0
august,0
auk,0
aunt,0
aura,0
aural,0
aurally,0
aureole,0
auricle,0
auspices,0
auspicious,2
auspiciously,2
austere,-1
austerely,-1
austerity,-1
australian,0
austrian,0
authentic,2
authentically,2
authenticate,0
authentication,0
authenticity,0
author,0
authoritarian,-1
authoritarianism,-2
authoritative,1
authoritatively,0
authority,0
authorization,0
authorize,0
authorship,0
autism,-1
autistic,-1
auto,0
autobiographical,0
autobiography,0
autocracy,-1
autocrat,-1
autocratic,-1
autocratically,-2
autograph,0
automate,0
automatic,0
automatically,0
automation,0
automaton,0
automobile,0
automotive,0
autonomous,1
autonomously,0
autonomy,0
autopilot,0
autopsy,0
autumn,0
autumnal,0
auxiliary,0
avail,0
availability,0
available,0
avalanche,-1
avant-garde,0
avarice,-2
avaricious,-2
avariciously,-2
avatar,0
avdp.,0
avenge,-1
avenger,-1
avenue,0
aver,0
average,-1
averse,-2
aversion,-2
avert,0
avg.,0
avian,0
aviary,0
aviation,0
aviator,0
avid,1
avidity,0
avidly,2
avionics,0
avocado,0
avocation,0
avoid,0
avoidable,0
avoidably,0
avoidance,0
avoirdupois,0
avow,0
avowal,0
avowed,0
avuncular,0
await,0
awake,0
awaken,0
awakening,0
award,2
aware,0
awareness,0
awash,0
away,0
awe,2
aweigh,0
awesome,3
awestruck,2
awful,-3
awfully,-3
awhile,0
awkward,-1
awkwardly,-1
awkwardness,-1
awl,0
awning,0
awoke,0
awoken,0
awol,-2
awry,-1
ax,0
axe,-1
axes,0
axial,0
axiom,0
axiomatic,0
axiomatically,0
axis,0
axle,0
axon,0
ayatollah,0
aye,0
azalea,0
azimuth,0
azure,0
b,0
b.c.,0
baa,0
babble,-1
babbler,-1
babe,0
babel,0
baboon,0
babushka,0
baby,0
babyhood,0
babyish,-1
baby-sit,0
babysitter,0
baccalaureate,0
bacchanalian,-1
bachelor,0
bacilli,0
bacillus,0
back,0
backache,-1
backbit,-1
backbite,-2
backbiter,-1
backbitten,-1
backboard,0
backbone,1
backbreaking,-2
backdrop,0
backer,0
backfield,0
backfire,-1
backgammon,0
background,0
backhand,0
backhanded,-1
backhoe,0
backing,0
backlash,0
backlog,0
backpack,0
backpacker,0
backpedal,-1
backrest,0
backside,0
backslapper,0
backslid,-1
backslide,-1
backslider,-1
backspace,0
backstage,0
backstop,0
backstretch,0
backstroke,0
backtalk,-1
back-to-back,0
backtrack,0
backup,0
backward,-2
backwardness,-1
backwards,-1
backwater,0
backwoods,0
backyard,0
bacon,0
bacteria,0
bacterial,0
bacteriological,0
bacteriologist,0
bacteriology,0
bacterium,-1
bad,-2
bade,0
badge,0
badger,-1
badlands,-1
badly,-2
badminton,0
badmouth,-2
badness,-2
bad-tempered,-2
baffle,-1
bafflement,-1
baffling,-1
bag,0
bagel,0
baggage,0
bagginess,0
baggy,0
bagpipe,0
bagpipes,0
bah,-2
bail,0
bailiff,0
bailiwick,0
bait,-1
baize,0
bake,0
baker,0
bakery,0
balalaika,0
balance,0
balcony,0
bald,-1
balderdash,-1
balding,-1
baldly,-2
baldness,-1
bale,0
baleful,-2
balefully,-2
balk,-1
balky,-2
ball,0
ballad,0
ballast,0
ballerina,0
ballet,0
ballistic,0
ballistics,0
balloon,0
balloonist,0
ballot,0
ballpark,0
ballplayer,0
ballpoint,0
ballroom,0
balls,0
ballsy,0
ballyhoo,0
balm,0
balmy,0
baloney,-1
balsa,0
balsam,0
baluster,0
balustrade,0
bamboo,0
bamboozle,-1
ban,-1
banal,-2
banality,-1
banana,0
band,0
bandage,0
bandana,0
bandanna,0
bandit,-1
bandoleer,0
bandolier,0
bandstand,0
bandwagon,0
bandy,0
bandy-legged,-1
bane,-2
baneful,-2
bang,0
bangle,0
bangs,0
bang-up,1
banish,-1
banishment,-2
banister,0
banjo,0
bank,0
bankbook,0
banker,0
banking,0
banknote,0
bankroll,0
bankrupt,-2
bankruptcy,-2
banner,0
banns,0
banquet,0
banshee,-2
bantam,0
bantamweight,0
banter,0
bantu,0
banyan,0
baobab,0
baptism,0
baptismal,0
baptize,0
bar,0
barb,0
barbarian,-2
barbaric,-2
barbarism,-2
barbarity,-2
barbarous,-2
barbarously,-2
barbecue,0
barbed,-1
barbell,0
barber,0
barbershop,0
barbiturate,0
bard,0
bare,0
bare-assed,0
bareback,0
barefaced,-1
barefoot,0
barefooted,0
barehanded,0
bareheaded,0
barely,0
bareness,0
barf,-1
bargain,2
barge,-1
baritone,0
barium,0
bark,0
barker,0
barley,0
barmaid,0
barn,0
barnacle,0
barnstorm,0
barnyard,0
barometer,0
barometric,0
baron,0
baroness,0
baronet,0
baronial,0
baroque,0
barracks,0
barracuda,0
barrage,0
barrel,0
barren,-2
barrenness,-1
barrette,0
barricade,0
barrier,0
barring,0
barrio,0
barrister,0
barroom,0
barrow,0
bartender,0
barter,0
basal,0
basalt,0
base,0
baseball,0
baseboard,0
baseless,-1
baseline,0
basely,-2
baseman,0
basement,0
baseness,-2
bases,0
bash,-1
bashful,0
bashfully,0
bashfulness,0
basic,0
basically,0
basil,0
basilica,0
basin,0
basis,0
bask,0
basket,0
basketball,0
bass,0
bassinet,0
bassist,0
bassoon,0
bastard,-3
bastardize,-2
baste,0
bastion,0
bat,0
batch,0
bated,0
bath,0
bathe,0
bather,0
bathhouse,0
bathmat,0
bathos,0
bathrobe,0
bathroom,0
bathtub,0
batik,0
baton,0
battalion,0
batten,0
batter,0
battery,0
battle,0
battlefield,0
battleground,0
battlement,0
battleship,0
batty,-1
bauble,-1
baud,0
bauxite,0
bawdily,-2
bawdiness,-1
bawdy,-1
bawl,-1
bay,0
bayberry,0
bayonet,0
bayou,0
bazaar,0
bazooka,0
be,0
beach,0
beachcomber,0
beachhead,0
beacon,0
bead,0
beady,0
beagle,0
beak,0
beaker,0
beam,0
bean,0
beanbag,0
bear,0
bearable,0
beard,0
bearded,0
bearer,0
bearing,0
bearish,-1
beast,-1
beastliness,-1
beastly,-2
beat,0
beaten,-1
